epoch_ms,cpu_ticks,rss_kb
1790063012671,0,13140
1790063012779,3,41556
1790063012888,3,41356
1790063012996,3,41356
1790063013105,3,41356
1790063013213,3,43596
1790063013323,10,53744
1790063013432,20,57220
1790063013541,27,70152
1790063013650,34,82740
1790063013759,41,75220
1790063013869,50,75412
1790063013977,57,78016
1790063014087,67,91260
1790063014195,74,83932
1790063014305,83,98044
1790063014414,93,97876
1790063014522,104,85200
1790063014631,111,86712
1790063014740,116,87576
1790063014849,122,88920
1790063014958,123,80080
1790063015066,123,79908
1790063015174,123,79908
1790063015282,124,77096
1790063015390,124,77104
1790063015498,124,77104
1790063015606,124,77104
1790063015714,125,76944
1790063015822,125,73860
1790063015930,125,73860
1790063016038,125,73860
1790063016146,125,73860
1790063016254,125,73860
1790063016362,125,73860
1790063016471,125,73860
1790063016579,125,73860
1790063016687,125,73860
1790063016795,125,73860
1790063016903,125,73860
1790063017012,125,73860
1790063017120,125,73860
1790063017228,125,73860
1790063017337,125,73860
1790063017445,125,73860
1790063017553,125,73872
1790063017662,125,73860
1790063017769,125,73860
1790063017877,125,73860
1790063017986,126,75280
