epoch_ms,cpu_ticks,rss_kb
1790059721683,0,10924
1790059721792,1,21196
1790059721901,6,38976
1790059722010,10,53556
1790059722119,12,57244
1790059722227,12,59336
1790059722338,19,66348
1790059722447,27,72136
1790059722556,32,74060
1790059722665,39,78756
1790059722775,45,84504
1790059722885,51,84944
1790059722994,58,87612
1790059723103,64,88252
1790059723212,70,89020
1790059723321,77,89296
1790059723430,83,89464
1790059723540,92,100148
1790059723650,99,102004
1790059723759,109,102372
1790059723868,114,105004
1790059723978,119,106984
1790059724087,125,106904
1790059724196,128,106904
1790059724305,128,106904
1790059724413,128,106904
1790059724522,128,106904
1790059724630,128,106904
1790059724739,128,106904
1790059724847,128,106904
1790059724956,128,106904
1790059725064,128,106904
1790059725173,128,106904
1790059725281,128,106904
1790059725390,128,106904
1790059725498,128,106904
1790059725607,128,106904
1790059725715,128,106904
1790059725825,128,106904
1790059725934,128,106904
1790059726042,128,106904
1790059726151,128,106904
1790059726259,128,106904
1790059726367,128,106904
1790059726475,128,106904
1790059726584,128,106904
1790059726693,128,106904
1790059726801,128,106912
1790059726911,128,106912
1790059727019,128,106912
1790059727127,128,106916
1790059727239,128,106924
1790059727348,133,106976
1790059727457,142,107624
1790059727566,153,108616
1790059727675,163,110420
1790059727785,174,111588
1790059727894,184,112064
1790059728003,194,115660
1790059728113,204,122180
1790059728222,214,123156
1790059728332,224,125220
1790059728441,234,125492
1790059728550,243,125908
1790059728659,253,126148
1790059728772,263,126524
1790059728882,273,128028
1790059728991,284,140852
1790059729100,294,146480
1790059729209,304,153916
1790059729319,314,154004
1790059729429,324,154164
1790059729541,334,156044
1790059729651,344,156316
1790059729760,355,159136
1790059729869,363,160756
1790059729979,373,160912
1790059730088,382,161092
1790059730197,390,161368
1790059730306,398,161568
