epoch_ms,cpu_ticks,rss_kb
1790063154210,0,13208
1790063154319,2,41472
1790063154428,2,41268
1790063154537,2,41268
1790063154645,2,41268
1790063154754,3,43480
1790063154862,9,51348
1790063154971,19,57988
1790063155080,25,63844
1790063155189,32,80096
1790063155298,38,77144
1790063155408,46,74132
1790063155517,52,76192
1790063155626,62,88532
1790063155736,69,81988
1790063155845,77,79928
1790063155954,86,100608
1790063156063,94,101616
1790063156172,103,84696
1790063156281,109,84696
1790063156390,113,86484
1790063156499,118,86912
1790063156608,118,76500
1790063156716,118,76500
1790063156824,118,76468
1790063156933,118,76468
1790063157042,118,76468
1790063157150,118,76468
1790063157258,120,74920
1790063157367,120,74920
1790063157476,120,74920
1790063157585,120,74920
1790063157693,120,74920
1790063157801,120,74700
1790063157910,121,72052
1790063158018,121,72052
1790063158126,121,72052
1790063158235,121,72052
1790063158343,121,72052
1790063158451,121,72052
1790063158561,121,72052
1790063158670,121,72052
1790063158779,121,72052
1790063158887,121,72052
1790063158996,121,72052
1790063159104,121,72052
1790063159213,121,72064
1790063159322,121,72056
1790063159430,121,72056
1790063159539,121,72056
1790063159648,125,78328
1790063159757,133,81368
1790063159866,143,80292
1790063159975,152,82216
1790063160085,164,84304
1790063160195,175,85372
1790063160305,185,87508
1790063160414,196,91444
1790063160523,206,95272
1790063160632,217,95880
1790063160741,227,93716
1790063160851,238,90204
1790063160960,249,90356
1790063161070,260,90096
1790063161178,270,90144
1790063161289,281,90036
1790063161398,293,91464
1790063161507,305,92696
1790063161617,316,92324
1790063161726,324,92380
1790063161835,328,91836
