epoch_ms,cpu_ticks,rss_kb
1788976972552,0,11888
1788976972662,3,39640
1788976972772,3,39500
1788976972881,3,39500
1788976972989,3,39500
1788976973098,3,41548
1788976973207,10,53232
1788976973316,20,57668
1788976973426,28,58440
1788976973535,34,65284
1788976973644,42,68100
1788976973754,52,70580
1788976973863,61,90652
1788976973972,70,87616
1788976974080,78,87216
1788976974189,85,86772
1788976974298,95,89340
1788976974407,103,91384
1788976974516,111,97796
1788976974626,120,98196
1788976974735,131,92568
1788976974844,140,89836
