epoch_ms,cpu_ticks,rss_kb
1788976962262,0,20200
1788976962371,9,86320
1788976962480,16,97476
1788976962587,16,97476
1788976962696,16,97476
1788976962805,17,98836
1788976962913,23,100636
1788976963022,31,105428
1788976963131,37,115252
1788976963240,45,125004
1788976963349,52,135132
1788976963458,61,141980
1788976963567,70,142092
1788976963676,79,144160
1788976963785,87,143828
1788976963893,95,142872
1788976964002,102,142908
1788976964110,109,143000
1788976964219,115,143188
1788976964327,122,143440
1788976964436,130,143448
1788976964545,138,140084
1788976964654,148,140132
1788976964763,156,140144
