epoch_ms,cpu_ticks,rss_kb
1788976967363,0,20436
1788976967473,15,92192
1788976967582,20,97488
1788976967691,20,97488
1788976967800,20,97488
1788976967911,20,98848
1788976968020,27,100544
1788976968130,35,105552
1788976968239,43,114544
1788976968348,51,123400
1788976968457,60,135360
1788976968567,70,140916
1788976968677,80,142636
1788976968785,88,145052
1788976968895,98,143932
1788976969005,106,143304
1788976969116,114,143336
1788976969225,122,143392
1788976969335,129,143460
1788976969445,136,143604
1788976969554,144,143820
1788976969664,155,143760
1788976969773,165,140404
1788976969882,176,140416
1788976969992,183,140428
