epoch_ms,cpu_ticks,rss_kb
1789385611884,0,19884
1789385611993,17,96456
1789385612101,17,96456
1789385612209,17,96456
1789385612317,17,96456
1789385612426,18,97816
1789385612535,24,99524
1789385612643,33,106688
1789385612752,41,116732
1789385612861,49,127932
1789385612970,57,134588
1789385613079,65,138356
1789385613188,72,138384
1789385613297,82,138416
1789385613406,91,138564
1789385613515,100,140448
1789385613624,110,140344
1789385613733,120,141104
1789385613841,128,140144
1789385613951,137,140228
1789385614060,143,140276
1789385614169,150,140304
1789385614278,160,142068
1789385614387,171,138708
1789385614496,180,138804
1789385614606,190,138892
1789385614715,197,138960
