epoch_ms,cpu_ticks,rss_kb
1789385617520,0,11280
1789385617629,2,40912
1789385617738,2,40712
1789385617846,2,40712
1789385617954,2,40712
1789385618063,4,42752
1789385618173,10,52508
1789385618281,19,57752
1789385618391,27,58472
1789385618500,34,67332
1789385618609,41,69328
1789385618719,49,72456
1789385618828,56,72256
1789385618937,66,78556
1789385619046,76,96244
1789385619155,86,98804
1789385619264,95,96780
1789385619373,105,95972
1789385619482,114,89692
1789385619591,121,87744
1789385619701,130,108820
1789385619810,140,97220
1789385619919,150,99356
1789385620028,161,89400
1789385620136,166,88572
