epoch_ms,cpu_ticks,rss_kb
1789385606078,0,9516
1789385606186,9,86972
1789385606294,16,97160
1789385606402,16,97160
1789385606511,16,97160
1789385606619,16,98516
1789385606727,24,100136
1789385606836,31,105504
1789385606945,38,116296
1789385607054,45,127128
1789385607163,52,134520
1789385607271,60,138732
1789385607380,66,138816
1789385607489,74,140344
1789385607597,83,140508
1789385607706,91,141228
1789385607815,102,141424
1789385607924,111,143220
1789385608033,119,141248
1789385608142,126,141404
1789385608251,132,141448
1789385608359,139,141488
1789385608469,147,142612
1789385608578,155,142616
1789385608687,162,139276
1789385608796,173,139316
1789385608905,181,139364
