epoch_ms,cpu_ticks,rss_kb
1789385622837,0,11040
1789385622946,2,19568
1789385623055,5,43976
1789385623163,9,54336
1789385623272,9,54336
1789385623380,10,56408
1789385623489,16,63384
1789385623598,23,75536
1789385623707,31,84212
1789385623816,39,94444
1789385623926,45,105568
1789385624035,53,111944
1789385624144,60,116772
1789385624253,67,116856
1789385624363,76,141112
1789385624472,85,155848
1789385624581,94,163608
1789385624690,103,164368
1789385624799,111,164492
1789385624908,118,164928
1789385625017,124,165124
1789385625127,131,165164
1789385625236,141,166676
1789385625346,148,166804
1789385625455,156,166888
1789385625564,166,166972
1789385625674,175,167060
1789385625782,180,167128
