epoch_ms,cpu_ticks,rss_kb
1789156942158,0,13236
1789156942268,6,51988
1789156942377,6,51988
1789156942487,6,51988
1789156942597,6,51988
1789156942710,7,54076
1789156942831,11,72124
1789156942946,17,59940
1789156943073,25,65996
1789156943191,32,75124
1789156943302,40,80528
1789156943412,48,87232
1789156943527,55,93732
1789156943642,62,99892
1789156943761,72,104936
1789156943872,78,109924
1789156943982,88,114664
1789156944093,96,114788
1789156944204,104,121236
1789156944317,114,147316
1789156944428,124,152480
1789156944537,134,160276
1789156944646,143,160368
1789156944755,151,160396
1789156944866,159,160716
1789156944975,166,160912
1789156945085,173,160952
1789156945194,181,161344
1789156945304,191,161788
1789156945414,200,161916
1789156945526,210,162032
1789156945636,221,162120
1789156945745,230,162372
1789156945853,236,162728
