epoch_ms,cpu_ticks,rss_kb
1790404038299,0,21148
1790404038408,17,87028
1790404038516,18,87948
1790404038625,18,87948
1790404038734,18,87948
1790404038843,19,89256
1790404038952,25,91556
1790404039062,33,93944
1790404039172,40,94808
1790404039281,47,97896
1790404039391,55,99860
1790404039500,62,100008
1790404039609,68,100952
1790404039719,75,101440
1790404039829,81,101876
1790404039938,90,105936
1790404040047,97,108396
1790404040157,104,111788
1790404040267,113,119808
1790404040376,123,116096
1790404040486,133,116304
1790404040595,140,116332
1790404040705,144,116360
1790404040814,150,116364
1790404040923,150,116364
1790404041032,150,116364
1790404041141,150,116364
1790404041249,150,116364
1790404041357,150,116364
1790404041466,150,116364
1790404041575,150,116364
1790404041683,150,116364
1790404041792,150,116364
1790404041900,150,116364
1790404042010,150,116364
1790404042118,150,116364
1790404042227,150,116364
1790404042335,150,116364
1790404042443,150,116364
1790404042552,150,116364
1790404042660,150,116364
1790404042769,150,116364
1790404042877,150,116364
1790404042986,150,116364
1790404043096,150,116364
1790404043204,150,116364
1790404043312,150,116364
1790404043421,150,116376
1790404043530,150,116400
1790404043639,150,116400
1790404043748,150,116400
1790404043857,150,116400
1790404043965,153,116420
1790404044075,160,117036
1790404044184,172,117156
1790404044294,181,117508
1790404044403,193,114092
1790404044512,203,114152
1790404044622,215,114108
1790404044732,227,114108
1790404044843,236,114108
1790404044953,248,114252
1790404045062,260,115236
1790404045172,271,115488
1790404045281,285,115536
1790404045391,297,115684
1790404045500,307,116376
1790404045609,318,116528
1790404045718,329,116668
1790404045828,339,116856
1790404045937,348,116932
1790404046047,359,116984
1790404046156,370,117288
1790404046265,381,117664
1790404046374,392,118004
1790404046482,401,118200
1790404046592,412,118688
1790404046700,422,118888
1790404046812,435,116408
1790404046921,447,116888
1790404047031,458,129016
1790404047141,471,128780
1790404047251,482,133344
1790404047361,493,137040
1790404047470,504,137336
1790404047579,513,137340
1790404047687,521,137480
1790404047797,530,137480
1790404047906,538,151508
1790404048015,549,153900
1790404048123,560,153900
1790404048232,568,137516
