epoch_ms,cpu_ticks,rss_kb
1790404058164,0,13052
1790404058273,2,41620
1790404058382,2,41484
1790404058490,2,41484
1790404058599,2,41484
1790404058708,3,43624
1790404058817,10,52296
1790404058927,19,58232
1790404059036,25,67020
1790404059145,32,79252
1790404059254,37,76936
1790404059365,47,74552
1790404059474,53,79316
1790404059584,61,77640
1790404059693,69,82976
1790404059801,75,82456
1790404059912,83,83036
1790404060022,91,102920
1790404060132,99,102900
1790404060241,108,103580
1790404060350,117,88188
1790404060459,122,88656
1790404060569,127,92896
1790404060678,131,92304
1790404060787,131,84968
1790404060895,131,84856
1790404061004,131,84856
1790404061112,131,84856
1790404061221,131,82228
1790404061330,131,82228
1790404061439,131,82228
1790404061548,132,82236
1790404061657,132,82236
1790404061767,132,82076
1790404061876,132,76288
1790404061985,132,76288
1790404062095,132,76288
1790404062204,133,76288
1790404062313,133,76288
1790404062422,133,76288
1790404062531,133,76288
1790404062640,133,76288
1790404062749,133,76288
1790404062858,133,76288
1790404062966,133,76288
1790404063075,133,76288
1790404063184,133,76288
1790404063293,134,76300
1790404063402,134,76308
1790404063511,134,76308
1790404063620,134,76308
1790404063729,134,76308
1790404063838,138,84008
1790404063947,146,86300
1790404064057,154,87016
1790404064166,162,88560
1790404064276,174,91740
1790404064385,185,92024
1790404064496,195,92452
1790404064605,203,94500
1790404064716,213,97288
1790404064825,223,103156
1790404064935,232,101440
1790404065044,242,98624
1790404065153,252,95700
1790404065263,262,96248
1790404065371,274,95912
1790404065481,283,95684
1790404065591,293,95340
1790404065703,304,95420
1790404065812,315,96104
1790404065922,327,95648
1790404066031,339,97456
1790404066140,348,94712
1790404066250,359,95208
1790404066359,369,95988
1790404066469,379,96640
1790404066579,388,96832
1790404066688,401,100984
1790404066797,410,105548
1790404066907,422,107768
1790404067016,431,119776
1790404067126,443,127164
1790404067236,453,161724
1790404067346,463,166604
1790404067455,472,152248
1790404067564,479,143804
1790404067673,487,117628
1790404067782,498,118644
1790404067892,509,115796
