epoch_ms,cpu_ticks,rss_kb
1790404048279,0,7432
1790404048389,3,37632
1790404048498,3,37352
1790404048606,3,37352
1790404048715,3,37352
1790404048824,3,39696
1790404048934,9,51416
1790404049043,17,56888
1790404049152,23,60556
1790404049262,29,76124
1790404049372,35,78984
1790404049481,42,74152
1790404049591,49,74000
1790404049701,55,74904
1790404049811,60,72204
1790404049920,67,75076
1790404050029,74,81780
1790404050139,79,78052
1790404050248,86,79172
1790404050357,94,105356
1790404050466,102,108720
1790404050576,110,102376
1790404050685,116,87780
1790404050795,120,92328
1790404050905,125,94724
1790404051014,126,83620
1790404051123,126,83620
1790404051232,126,83620
1790404051341,126,83588
1790404051450,126,83588
1790404051558,126,83588
1790404051666,126,83588
1790404051776,126,83588
1790404051885,126,83252
1790404051994,126,83252
1790404052102,126,83252
1790404052211,126,83252
1790404052320,126,83252
1790404052428,126,83252
1790404052537,126,83252
1790404052646,126,83252
1790404052755,126,83252
1790404052864,126,83252
1790404052973,126,83252
1790404053082,126,83252
1790404053190,126,83252
1790404053298,126,83252
1790404053406,126,83264
1790404053515,126,83264
1790404053624,128,83272
1790404053733,128,83272
1790404053842,128,83272
1790404053951,128,83272
1790404054060,130,85384
1790404054171,136,88428
1790404054281,144,88680
1790404054392,151,89144
1790404054501,160,93232
1790404054611,171,92992
1790404054721,180,89372
1790404054830,189,87964
1790404054940,198,92880
1790404055049,207,95468
1790404055162,216,94080
1790404055272,225,93696
1790404055381,235,92448
1790404055491,245,93300
1790404055600,255,93884
1790404055710,264,93188
1790404055819,272,93404
1790404055929,283,91572
1790404056038,293,93108
1790404056148,302,93532
1790404056257,311,92464
1790404056366,320,92944
1790404056476,330,92492
1790404056586,339,92752
1790404056695,347,95212
1790404056805,357,108420
1790404056914,367,100340
1790404057024,376,102740
1790404057133,386,102096
1790404057243,396,122148
1790404057353,407,143976
1790404057462,417,162604
1790404057571,426,128056
1790404057680,434,139836
1790404057790,442,112432
1790404057899,449,128020
1790404058009,459,113416
1790404058118,468,110868
