epoch_ms,cpu_ticks,rss_kb
1789068533522,0,20228
1789068533631,18,96460
1789068533740,18,96460
1789068533848,18,96460
1789068533958,18,96460
1789068534067,18,97820
1789068534176,25,100228
1789068534285,34,106864
1789068534394,42,116820
1789068534504,50,128868
1789068534613,58,141444
1789068534722,70,143836
1789068534831,79,146424
1789068534942,88,146672
1789068535051,97,145048
1789068535160,104,145136
1789068535268,112,145200
1789068535376,120,145272
1789068535486,128,145528
1789068535595,137,145628
1789068535705,147,145668
1789068535815,156,142320
1789068535924,166,142332
1789068536033,174,142404
