epoch_ms,cpu_ticks,rss_kb
1789068536126,0,12872
1789068536235,1,26384
1789068536343,1,26696
1789068536452,1,26696
1789068536561,1,27404
1789068536669,1,27404
1789068536778,1,27404
1789068536887,3,35392
1789068536997,3,35140
1789068537105,3,35120
1789068537215,4,53692
1789068537325,13,57880
1789068537434,20,59228
1789068537543,28,59692
1789068537652,34,65996
1789068537761,41,68380
1789068537870,50,70892
1789068537979,59,82464
1789068538089,67,88168
1789068538198,75,89060
1789068538308,82,86268
1789068538418,90,91592
1789068538527,97,96216
1789068538637,104,85320
1789068538746,112,90332
1789068538855,120,95076
1789068538965,129,89940
1789068539074,138,92600
