epoch_ms,cpu_ticks,rss_kb
1789068539190,0,12896
1789068539298,2,39716
1789068539407,2,39664
1789068539516,2,39560
1789068539625,2,39560
1789068539735,3,41684
1789068539846,9,48392
1789068539958,18,55872
1789068540068,26,56840
1789068540177,34,63060
1789068540287,42,65920
1789068540397,51,68552
1789068540506,61,84944
1789068540616,68,89784
1789068540724,77,89484
1789068540833,84,88948
1789068540942,94,100064
1789068541051,103,87732
1789068541160,111,93928
1789068541269,119,94736
1789068541379,129,89956
1789068541488,138,88388
