epoch_ms,cpu_ticks,rss_kb
1789069181996,0,12916
1789069182105,10,80624
1789069182213,19,97580
1789069182321,19,97580
1789069182429,19,97580
1789069182537,19,98940
1789069182646,25,100848
1789069182755,32,106272
1789069182865,40,116848
1789069182974,47,127268
1789069183083,54,141572
1789069183193,64,152328
1789069183302,73,153164
1789069183411,81,156952
1789069183520,91,157188
1789069183629,98,154728
1789069183738,105,154892
1789069183847,111,155096
1789069183956,118,155384
1789069184065,126,155716
1789069184174,133,155864
1789069184284,141,155948
1789069184393,151,156172
1789069184502,159,156196
