epoch_ms,cpu_ticks,rss_kb
1789068543947,0,14296
1789068544056,4,54080
1789068544164,4,54080
1789068544273,4,54080
1789068544382,4,54080
1789068544491,5,56164
1789068544601,12,62248
1789068544710,20,72116
1789068544819,26,83396
1789068544929,34,92592
1789068545039,41,105180
1789068545148,51,115140
1789068545257,61,123768
1789068545366,69,131732
1789068545477,77,135160
1789068545586,85,140428
1789068545695,93,147396
1789068545805,99,153148
1789068545914,108,160156
1789068546023,115,168264
1789068546132,124,172736
1789068546241,132,172888
1789068546350,139,173100
1789068546459,149,173120
1789068546568,158,173172
1789068546677,163,0
