epoch_ms,cpu_ticks,rss_kb
1789069194842,0,12932
1789069194950,3,40372
1789069195059,3,40296
1789069195168,3,40296
1789069195276,3,40296
1789069195385,4,42360
1789069195495,10,51512
1789069195604,19,58280
1789069195711,29,59244
1789069195820,35,62264
1789069195929,44,67296
1789069196038,52,69364
1789069196147,62,72024
1789069196256,72,93284
1789069196364,81,95288
1789069196473,89,88248
1789069196581,96,91856
1789069196691,108,98180
1789069196800,116,92900
1789069196910,125,97036
1789069197019,134,101224
1789069197128,142,103376
1789069197237,154,96348
1789069197346,162,94324
