epoch_ms,cpu_ticks,rss_kb
1789633804664,0,20788
1789633804774,10,87108
1789633804883,17,97088
1789633804992,17,97088
1789633805101,17,97088
1789633805210,18,98452
1789633805320,24,100092
1789633805429,32,104788
1789633805538,39,115616
1789633805647,45,126024
1789633805757,53,133784
1789633805866,59,138628
1789633805976,66,138732
1789633806086,75,139504
1789633806195,84,140420
1789633806305,92,142452
1789633806414,102,142220
1789633806524,112,141692
1789633806634,120,141180
1789633806743,127,141336
1789633806853,133,141388
1789633806963,140,141420
1789633807072,148,142616
1789633807182,156,142584
1789633807291,163,139240
1789633807400,173,139424
1789633807510,182,139552
1789633807618,187,139592
