epoch_ms,cpu_ticks,rss_kb
1789633824811,0,14108
1789633824920,4,52312
1789633825029,4,52312
1789633825139,4,52312
1789633825249,4,52312
1789633825358,5,54520
1789633825468,12,62216
1789633825578,20,73328
1789633825688,28,84532
1789633825797,35,95720
1789633825908,43,103380
1789633826018,52,111348
1789633826128,59,112552
1789633826238,67,120140
1789633826348,79,146480
1789633826457,87,146984
1789633826568,97,150308
1789633826678,105,150396
1789633826788,113,150524
1789633826899,121,151044
1789633827009,129,151252
1789633827120,137,151648
1789633827230,147,153732
1789633827339,155,153868
1789633827449,164,154200
1789633827559,175,154312
1789633827668,183,155016
