epoch_ms,cpu_ticks,rss_kb
1789633816301,0,13048
1789633816410,2,41112
1789633816519,2,40860
1789633816628,2,40860
1789633816737,2,40860
1789633816847,3,42884
1789633816956,10,52784
1789633817066,19,58712
1789633817176,27,59692
1789633817286,34,67696
1789633817396,41,70252
1789633817505,49,73220
1789633817615,57,71200
1789633817725,66,76280
1789633817835,76,91084
1789633817945,86,100092
1789633818055,96,87732
1789633818164,105,93268
1789633818274,114,91844
1789633818383,121,86268
1789633818493,129,99896
1789633818603,139,103284
1789633818713,148,103084
1789633818823,158,88788
1789633818932,167,89492
