epoch_ms,cpu_ticks,rss_kb
1789633810577,0,20120
1789633810686,17,97184
1789633810795,17,97184
1789633810904,17,97184
1789633811013,17,97184
1789633811122,18,98556
1789633811232,26,100296
1789633811342,34,107096
1789633811451,42,117476
1789633811561,50,128932
1789633811670,58,135788
1789633811780,67,138904
1789633811889,74,138936
1789633811999,83,140460
1789633812109,93,140872
1789633812218,101,141868
1789633812328,111,144172
1789633812438,122,141888
1789633812547,130,141964
1789633812656,138,142064
1789633812766,146,142100
1789633812876,152,142136
1789633812986,163,143132
1789633813095,172,143188
1789633813204,184,139920
1789633813314,194,140000
1789633813423,202,140108
