epoch_ms,cpu_ticks,rss_kb
1789633813493,0,12324
1789633813602,2,37004
1789633813712,2,36512
1789633813820,2,36512
1789633813930,2,36512
1789633814039,3,38688
1789633814148,10,52260
1789633814259,18,58080
1789633814368,25,59240
1789633814478,31,66848
1789633814589,39,69200
1789633814698,45,71612
1789633814809,53,71224
1789633814919,63,73676
1789633815029,70,79308
1789633815139,80,99868
1789633815249,88,99368
1789633815358,95,91292
1789633815468,103,91856
1789633815577,111,86296
1789633815686,117,86528
1789633815797,125,105772
1789633815907,134,98800
1789633816016,142,100612
1789633816126,153,89020
1789633816235,159,88276
