epoch_ms,cpu_ticks,rss_kb
1790063070052,0,11976
1790063070161,3,38104
1790063070269,3,37352
1790063070378,3,37352
1790063070487,3,37352
1790063070595,5,39812
1790063070704,11,53168
1790063070813,18,58788
1790063070922,24,67056
1790063071031,31,78796
1790063071140,36,73544
1790063071249,43,74328
1790063071359,50,76124
1790063071469,57,83160
1790063071578,63,78056
1790063071688,70,74824
1790063071797,78,94192
1790063071906,86,94916
1790063072016,94,87768
1790063072125,101,81048
1790063072234,106,79780
1790063072343,111,83936
1790063072452,113,80984
1790063072560,114,75852
1790063072667,114,75820
1790063072775,114,74396
1790063072884,114,74396
1790063072992,114,74396
1790063073101,114,74396
1790063073209,114,74396
1790063073317,114,74396
1790063073425,114,74396
1790063073533,114,74396
1790063073641,114,74396
1790063073749,114,74396
1790063073858,114,74396
1790063073966,114,74396
1790063074074,114,74396
1790063074182,114,74400
1790063074291,114,74400
1790063074400,114,74400
1790063074508,114,74400
1790063074616,114,74400
1790063074724,114,74400
1790063074832,114,74400
1790063074941,114,74400
1790063075049,115,74416
1790063075158,115,74428
1790063075266,115,74428
1790063075375,115,74428
1790063075483,115,74424
1790063075592,120,79712
1790063075701,129,77780
1790063075810,138,78784
1790063075919,148,81704
1790063076028,157,83236
1790063076137,168,83232
1790063076246,178,83696
1790063076355,187,85644
1790063076466,196,92096
1790063076576,206,96736
1790063076685,215,92352
1790063076794,224,90836
1790063076903,234,91844
1790063077012,244,91368
1790063077121,252,92392
1790063077232,263,92144
1790063077341,272,92840
1790063077451,283,94216
1790063077560,293,95312
1790063077669,302,94808
