epoch_ms,cpu_ticks,rss_kb
1789885994561,0,20844
1789885994669,10,88060
1789885994778,16,97008
1789885994886,16,97008
1789885994994,16,97008
1789885995103,17,98600
1789885995212,22,99816
1789885995321,30,102120
1789885995431,36,103732
1789885995540,42,105308
1789885995649,48,105516
1789885995758,54,105740
1789885995867,60,105904
1789885995977,66,105924
1789885996086,71,105940
1789885996195,77,107080
1789885996303,83,107888
1789885996413,89,108016
1789885996521,95,108200
1789885996631,101,108344
1789885996740,106,108432
1789885996849,113,108540
1789885996961,118,108676
1789885997070,125,108816
1789885997179,131,108976
1789885997288,136,109128
1789885997397,143,109280
1789885997506,150,110816
1789885997615,160,111404
1789885997724,165,111620
1789885997834,170,112364
1789885997942,177,112480
1789885998051,182,112684
1789885998161,189,112908
1789885998269,194,113112
1789885998378,201,113300
1789885998488,207,114168
1789885998597,213,114324
1789885998706,219,114512
1789885998815,224,114732
1789885998924,229,114928
1789885999033,235,115104
1789885999143,242,115284
1789885999252,249,115556
1789885999361,256,115952
1789885999470,263,116164
1789885999579,269,116236
1789885999688,279,131876
1789885999798,287,146152
1789885999907,295,144368
1789886000016,303,144416
1789886000125,311,144416
1789886000235,319,144488
1789886000344,327,149512
1789886000454,334,149532
1789886000565,342,149532
1789886000674,350,149560
1789886000783,359,155260
1789886000892,368,155288
1789886001001,378,155332
1789886001110,388,155336
1789886001219,395,155344
1789886001328,400,155348
1789886001439,406,155364
1789886001548,411,155372
1789886001657,415,155388
1789886001766,418,155392
1789886001875,423,155392
1789886001984,429,155396
1789886002092,435,155404
1789886002201,440,155432
1789886002311,446,154968
1789886002420,452,154984
1789886002530,457,154988
1789886002639,461,154988
1789886002748,461,154988
1789886002856,461,154988
1789886002965,461,154988
1789886003073,461,154988
1789886003181,461,154988
1789886003290,461,154988
1789886003399,461,154988
1789886003507,461,154988
1789886003616,461,154988
1789886003724,461,154988
1789886003833,461,154988
1789886003943,461,155008
1789886004052,462,155008
1789886004160,462,155008
1789886004269,462,155008
1789886004378,462,155008
1789886004487,462,155008
1789886004595,462,155008
1789886004703,462,155008
1789886004812,462,155008
1789886004920,462,155008
1789886005029,462,155008
1789886005137,462,155008
1789886005248,462,155008
1789886005356,462,155008
1789886005465,462,155008
1789886005573,462,155008
1789886005682,462,155008
1789886005791,467,155032
1789886005900,472,155032
1789886006008,478,155072
1789886006118,484,155092
1789886006228,490,155092
1789886006337,496,155104
1789886006446,506,155176
1789886006555,516,155200
1789886006665,526,155224
1789886006774,537,155252
1789886006883,548,155224
1789886006993,559,155224
1789886007102,569,155224
1789886007211,580,155232
1789886007320,591,155232
1789886007430,601,155232
1789886007539,613,155232
1789886007648,623,155248
1789886007758,633,155248
1789886007867,644,155248
1789886007976,655,155248
1789886008085,666,155256
1789886008194,676,155256
1789886008303,687,155256
1789886008413,697,155256
1789886008521,708,155256
1789886008631,719,155260
1789886008740,729,155884
1789886008849,741,155888
1789886008958,751,155888
1789886009067,761,155888
1789886009176,772,156120
1789886009286,783,156136
1789886009396,793,156388
1789886009505,804,156600
1789886009615,814,156600
1789886009724,826,156600
1789886009834,836,156716
1789886009943,847,156764
1789886010053,857,156804
1789886010162,868,156804
1789886010272,879,156804
1789886010386,890,156804
1789886010495,900,156820
1789886010605,911,156864
1789886010715,922,156864
1789886010824,932,156864
1789886010933,943,156864
1789886011042,953,156876
1789886011151,964,156876
1789886011260,975,156880
1789886011370,986,156900
1789886011479,997,156900
1789886011588,1006,156900
1789886011697,1016,157128
1789886011806,1025,157356
1789886011915,1034,157468
1789886012024,1044,157468
1789886012133,1053,157920
1789886012242,1063,158372
1789886012351,1073,158380
1789886012460,1082,157956
1789886012569,1091,157976
1789886012677,1102,157976
1789886012786,1112,158012
1789886012895,1121,158012
1789886013005,1130,158916
1789886013114,1141,158916
1789886013223,1151,158916
1789886013333,1160,158932
1789886013442,1171,159208
1789886013552,1181,160344
1789886013661,1191,172728
1789886013771,1201,184616
1789886013880,1210,184616
1789886013989,1221,184616
1789886014098,1231,184616
1789886014207,1241,184616
1789886014316,1250,184616
1789886014425,1260,184616
1789886014535,1270,185000
1789886014644,1280,185000
1789886014755,1290,185160
1789886014864,1300,185548
1789886014973,1310,185920
1789886015082,1319,188008
1789886015191,1329,187128
1789886015300,1339,187212
1789886015409,1349,187308
1789886015518,1358,187308
1789886015628,1367,187308
1789886015737,1378,187308
1789886015846,1386,187412
1789886015955,1396,187564
1789886016064,1405,187564
1789886016173,1415,187564
1789886016282,1425,187564
1789886016391,1435,187564
1789886016500,1444,187564
1789886016609,1454,187564
1789886016719,1463,188000
1789886016828,1474,188344
1789886016938,1482,188624
1789886017047,1492,188944
1789886017157,1502,189252
1789886017266,1511,189528
1789886017375,1521,189788
1789886017484,1531,190036
1789886017594,1541,190288
1789886017703,1551,190536
1789886017812,1560,190800
1789886017921,1569,191048
1789886018030,1579,191288
1789886018139,1589,191532
1789886018248,1599,191800
1789886018358,1609,192052
1789886018467,1619,192216
1789886018576,1628,192216
1789886018685,1639,192344
1789886018794,1648,192420
1789886018903,1658,192420
1789886019013,1666,192420
1789886019122,1676,192420
1789886019231,1683,192420
1789886019340,1690,192444
1789886019449,1696,192444
1789886019558,1699,192444
