epoch_ms,cpu_ticks,rss_kb
1789113228797,0,14272
1789113228906,4,43636
1789113229015,9,55568
1789113229125,9,55568
1789113229233,9,55568
1789113229342,10,57424
1789113229451,15,61240
1789113229561,23,72632
1789113229671,30,83064
1789113229780,37,92020
1789113229890,43,102396
1789113229999,51,109648
1789113230109,60,118848
1789113230219,69,131040
1789113230330,76,140256
1789113230440,86,141808
1789113230549,93,147144
1789113230659,100,154708
1789113230768,108,158024
1789113230879,114,158428
1789113230987,122,158652
1789113231097,130,159152
1789113231206,138,159284
1789113231316,145,159420
1789113231425,155,159496
1789113231535,165,159612
1789113231647,172,159656
