epoch_ms,cpu_ticks,rss_kb
1789113226011,0,12296
1789113226121,3,41828
1789113226229,3,41692
1789113226339,3,41692
1789113226448,3,41692
1789113226558,3,43720
1789113226666,9,50564
1789113226776,19,58308
1789113226884,28,59416
1789113226994,36,62588
1789113227103,42,67692
1789113227213,50,70140
1789113227322,60,74372
1789113227431,69,77584
1789113227539,78,87612
1789113227649,88,100568
1789113227759,98,99360
1789113227868,106,91068
1789113227977,115,88044
1789113228086,124,97796
1789113228196,133,85436
1789113228306,141,88888
1789113228415,151,95808
1789113228524,161,89844
1789113228634,172,90532
1789113228743,178,89676
