epoch_ms,cpu_ticks,rss_kb
1789113223391,0,12964
1789113223500,3,40964
1789113223609,3,40728
1789113223718,3,40728
1789113223827,3,40728
1789113223935,3,42800
1789113224044,10,49316
1789113224156,19,56768
1789113224265,28,58712
1789113224375,35,62968
1789113224485,41,67544
1789113224595,50,71092
1789113224704,59,76040
1789113224814,68,96076
1789113224924,78,98580
1789113225033,87,97412
1789113225143,94,89024
1789113225252,104,95972
1789113225361,111,84240
1789113225471,119,87364
1789113225580,128,88740
1789113225690,136,91632
1789113225801,147,87920
1789113225910,156,88636
