epoch_ms,cpu_ticks,rss_kb
1789113234509,0,10504
1789113234619,5,51136
1789113234728,5,51136
1789113234838,5,51136
1789113234947,5,51136
1789113235056,6,52944
1789113235166,13,60172
1789113235276,21,70548
1789113235385,29,81828
1789113235495,37,91432
1789113235605,45,103024
1789113235715,53,107152
1789113235825,64,123644
1789113235934,74,125240
1789113236045,82,128320
1789113236155,91,128396
1789113236266,99,129668
1789113236375,106,129748
1789113236484,114,130280
1789113236593,122,130892
1789113236704,130,135580
1789113236814,139,139092
1789113236924,148,139260
1789113237033,158,139488
1789113237143,169,139564
1789113237253,177,140704
