epoch_ms,cpu_ticks,rss_kb
1790079774380,0,11832
1790079774490,3,42172
1790079774599,3,42036
1790079774708,3,42036
1790079774817,3,42036
1790079774926,4,44088
1790079775036,10,53600
1790079775146,19,59004
1790079775256,26,67852
1790079775366,33,81236
1790079775475,39,77260
1790079775586,48,74968
1790079775696,55,81212
1790079775805,64,93228
1790079775915,71,90296
1790079776024,78,89360
1790079776134,86,97532
1790079776244,96,109552
1790079776354,105,109504
1790079776465,113,89320
1790079776575,119,90768
1790079776684,124,95644
1790079776794,128,95748
1790079776903,128,84004
1790079777012,128,84004
1790079777121,129,83764
1790079777230,129,76648
1790079777339,129,76648
1790079777447,129,76648
1790079777556,129,76648
1790079777665,129,76648
1790079777773,129,76648
1790079777882,129,76648
1790079777991,129,76648
1790079778099,129,76648
1790079778207,129,76648
1790079778316,129,76648
1790079778425,129,76648
1790079778533,129,76648
1790079778642,129,76648
1790079778751,129,76648
1790079778860,129,76648
1790079778969,129,76648
1790079779077,129,76648
1790079779186,129,76648
1790079779294,129,76648
1790079779403,129,76648
1790079779511,129,76700
1790079779621,129,76664
1790079779730,129,76664
1790079779839,129,76928
1790079779949,136,84728
1790079780058,143,87432
1790079780168,151,88740
1790079780278,161,92636
1790079780387,173,94424
1790079780497,181,92980
1790079780607,191,93808
1790079780717,202,97820
1790079780827,211,101568
1790079780938,221,99440
1790079781048,231,96632
1790079781158,241,98512
1790079781268,252,98356
1790079781380,263,98292
1790079781491,272,97828
1790079781600,281,98892
1790079781711,292,100624
1790079781821,304,100628
1790079781932,315,100072
1790079782042,326,116392
1790079782152,338,159188
1790079782262,349,162212
1790079782371,358,167996
1790079782481,364,166044
1790079782591,372,158996
1790079782700,383,127652
1790079782810,393,127580
1790079782919,400,121976
