epoch_ms,cpu_ticks,rss_kb
1790079977703,0,19196
1790079977811,10,79512
1790079977920,17,90012
1790079978029,17,90012
1790079978138,17,90012
1790079978247,18,91324
1790079978356,25,92880
1790079978466,31,95172
1790079978575,38,96752
1790079978685,44,99760
1790079978794,51,103180
1790079978903,56,103356
1790079979013,63,104256
1790079979122,68,104796
1790079979232,74,105012
1790079979341,81,108812
1790079979450,87,111264
1790079979560,94,114712
1790079979669,102,123348
1790079979779,109,122908
1790079979889,117,112956
1790079979998,125,113232
1790079980107,129,113264
1790079980216,135,113332
1790079980325,137,113396
1790079980434,137,113396
1790079980542,137,113396
1790079980651,137,113396
1790079980759,137,113396
1790079980867,137,113396
1790079980977,137,113396
1790079981086,137,113396
1790079981194,137,113396
1790079981303,137,113396
1790079981412,137,113396
1790079981520,137,113396
1790079981629,137,113396
1790079981737,137,113396
1790079981846,137,113396
1790079981954,137,113396
1790079982064,137,113396
1790079982172,137,113396
1790079982280,137,113396
1790079982388,137,113396
1790079982496,137,113396
1790079982605,137,113396
1790079982714,137,113396
1790079982822,137,113396
1790079982930,137,113420
1790079983040,138,113424
1790079983149,138,113424
1790079983258,138,113424
1790079983367,138,113424
1790079983476,143,113468
1790079983586,152,113600
1790079983696,160,114488
1790079983805,169,116252
1790079983915,179,116812
1790079984024,190,116844
1790079984134,201,117008
1790079984243,210,117008
1790079984353,220,117008
1790079984462,230,117200
1790079984574,240,117468
1790079984683,249,118136
1790079984792,259,118420
1790079984902,269,118240
1790079985012,278,118448
1790079985121,288,119060
1790079985230,299,119200
1790079985340,308,119380
1790079985450,317,119480
1790079985559,327,119504
1790079985668,337,120268
1790079985778,347,138856
1790079985887,357,142580
1790079985997,367,143264
1790079986106,375,143496
1790079986216,384,143508
1790079986325,390,143516
1790079986434,401,148556
1790079986544,412,159940
1790079986653,422,143552
